InferenceTime,RoundId,LearningType,TestAccuracy,Precision,Recall,TestMicroAUC,TestMacroAUC,P0,P1,P2,CM0,CM1,CM2,CM3
0.01189,0,EBL,0.57143,0.60852,0.57143,0.67952,0.67952,0.31034,0.37931,0.31034,23,23,10,21
0.01115,1,EBL,0.66234,0.66234,0.66234,0.74895,0.74895,0.30733,0.36037,0.33230,33,13,13,18
0.00733,2,EBL,0.67532,0.68654,0.67532,0.73072,0.73072,0.36400,0.36426,0.27174,31,15,10,21
0.00654,3,EBL,0.70130,0.71230,0.70130,0.75947,0.75947,0.37882,0.35532,0.26586,32,14,9,22
0.01006,4,EBL,0.70130,0.72594,0.70130,0.78752,0.78752,0.37922,0.32498,0.29580,30,16,7,24
0.01088,5,EBL,0.68831,0.70237,0.68831,0.76578,0.76578,0.37687,0.34313,0.28000,31,15,9,22
0.00953,6,EBL,0.71429,0.72245,0.71429,0.78892,0.78892,0.35539,0.31999,0.32462,33,13,9,22
0.00713,7,EBL,0.71429,0.71429,0.71429,0.75316,0.75316,0.35362,0.32818,0.31820,35,11,11,20
0.01040,8,EBL,0.66234,0.65917,0.66234,0.74614,0.74614,0.33817,0.33817,0.32366,34,12,14,17
0.00619,9,EBL,0.68831,0.68362,0.68831,0.74544,0.74544,0.34199,0.35071,0.30731,36,10,14,17
