InferenceTime,RoundId,LearningType,TestAccuracy,Precision,Recall,TestMicroAUC,TestMacroAUC,CM0,CM1,CM2,CM3,CM4,CM5,CM6,CM7,CM8,CM9,CM10,CM11,CM12,CM13,CM14,CM15,CM16,CM17,CM18,CM19,CM20,CM21,CM22,CM23,CM24
0.00003,0,FedAvg,0.37201,[0.73776224 0.01828154 0.23030303 0.33936262 0.57268722],[0.38609332 0.90909091 0.24836601 0.7959596  0.14130435],0.67082,0.73804,422,143,41,415,72,0,10,1,0,0,7,24,38,70,14,88,1,1,394,11,55,369,84,282,130
0.00002,1,FedAvg,0.11639,[0.80346821 0.01160338 0.08206958 0.39655172 0.07324841],[0.12717292 1.         0.60130719 0.09292929 0.025     ],0.50017,0.68890,139,312,349,69,224,0,11,0,0,0,0,58,92,1,2,32,8,344,46,65,2,559,336,0,23
0.00002,2,FedAvg,0.59581,[0.70574443 0.05042017 0.56060606 0.37625755 0.8953125 ],[0.55077768 0.54545455 0.24183007 0.75555556 0.62282609],0.84150,0.79987,602,104,28,307,52,3,6,0,0,2,30,6,37,67,13,121,0,0,374,0,97,3,1,246,573
0.00001,3,FedAvg,0.47343,[0.52613539 0.05223881 0.96969697 0.35288462 0.82214765],[0.56175663 0.63636364 0.20915033 0.74141414 0.26630435],0.80658,0.75565,614,115,0,315,49,3,7,0,0,1,38,12,32,68,3,128,0,0,367,0,384,0,1,290,245
0.00001,4,FedAvg,0.36714,[0.44       0.         1.         0.34447539 0.00520833],[0.55352242 0.         0.02614379 0.74949495 0.00108696],0.74996,0.73757,605,0,0,321,167,3,0,0,0,8,41,24,4,68,16,124,0,0,371,0,602,0,0,317,1
0.00001,5,FedAvg,0.72680,[0.79581152 0.04145078 0.95454545 0.54640719 0.91625125],[0.55626715 0.72727273 0.2745098  0.73737374 0.99891304],0.86134,0.84437,608,180,1,295,9,3,8,0,0,0,23,5,42,8,75,130,0,0,365,0,0,0,1,0,919
0.00001,6,FedAvg,0.70359,[0.76522843 0.04166667 0.97619048 0.47989624 0.97610922],[0.55169259 0.72727273 0.26797386 0.74747475 0.9326087 ],0.86382,0.81291,603,181,0,300,9,3,8,0,0,0,37,3,41,60,12,125,0,0,370,0,20,0,1,41,858
0.00001,7,FedAvg,0.58982,[0.63218391 0.03409091 0.8627451  0.40218579 0.96509599],[0.55352242 0.54545455 0.2875817  0.74343434 0.60108696],0.83476,0.79213,605,170,6,300,12,3,6,0,0,2,38,0,44,65,6,127,0,0,368,0,184,0,1,182,553
0.00001,8,FedAvg,0.59132,[0.80203046 0.02840909 0.8        0.37062937 0.97105263],[0.28911253 0.45454545 0.2875817  0.96363636 0.80217391],0.81934,0.80126,316,171,10,587,9,3,5,0,0,3,22,0,44,77,10,18,0,0,477,0,35,0,1,146,738
0.00002,9,FedAvg,0.72193,[0.73893805 0.04166667 1.         0.5266559  0.96721311],[0.61116194 0.72727273 0.2745098  0.65858586 0.96195652],0.87131,0.82607,668,181,0,235,9,3,8,0,0,0,37,2,42,51,21,169,0,0,326,0,27,1,0,7,885
